run,config,survivors,round,n_active,avg_price
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],63,3,1.7142856666666664
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],64,3,1.4761906666666667
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],65,3,1.4523806666666665
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],66,3,1.642857
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],67,3,1.4047619999999998
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],68,3,1.0714286666666666
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],69,3,1.2619046666666667
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],70,3,1.2857140000000002
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],71,3,1.357143
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],72,3,1.452381
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],73,3,1.5952376666666668
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],74,3,1.4761906666666667
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],75,3,1.1428573333333334
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],76,3,1.142857
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],77,3,1.1428573333333334
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],78,3,1.3809526666666665
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],79,3,1.4999996666666668
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],80,3,1.3333329999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],81,3,1.4285713333333332
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],82,3,1.3095236666666665
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],83,3,1.3333333333333333
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],84,3,1.452381
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],85,3,1.5
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],86,3,1.4999996666666668
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],87,3,1.6190473333333333
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],88,3,1.3333333333333333
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],89,3,1.2142856666666666
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],90,3,1.1666666666666667
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],91,3,1.5000003333333334
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],92,3,1.5238093333333333
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],93,3,1.5714283333333334
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],94,3,1.6428573333333334
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],95,3,1.4047619999999998
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],96,3,1.5952383333333333
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],97,3,1.2619049999999998
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],98,3,1.2142856666666668
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],99,3,1.2380953333333333
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],100,3,1.190476
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],101,2,1.357143
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],102,2,1.5
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],103,2,1.5
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],104,2,1.5
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],105,2,1.392857
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],106,2,1.142857
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],107,2,1.4285714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],108,2,1.535714
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],109,2,1.107143
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],110,2,1.0357145
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],111,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],112,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],113,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],114,2,1.3214285000000001
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],115,2,1.75
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],116,2,1.5
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],117,2,1.321429
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],118,2,1.25
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],119,2,1.2142855
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],120,2,1.2857145
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],121,2,1.5714285000000001
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],122,2,1.928571
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],123,2,1.4285714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],124,2,1.107143
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],125,2,1.2142855
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],126,2,1.1785714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],127,2,1.0357145
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],128,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],129,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],130,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],131,2,1.2142855
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],132,2,1.1785714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],133,2,1.4285714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],134,2,1.785714
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],135,2,1.75
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],136,2,1.75
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],137,2,1.4285714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],138,2,1.0357145
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],139,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],140,2,1.0357145
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],141,2,1.1785714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],142,2,1.142857
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],143,2,1.2857145
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],144,2,1.75
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],145,2,1.4642855
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],146,2,1.0
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],147,2,1.392857
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],148,2,1.4285714999999999
0,"['Q-Learner', 'Q-Learner', 'Greedy', 'Random']",['Greedy'],149,2,1.1428574999999999
