run,round,n_agents,config,agent,agent_idx,price,profit,avg_market_price
0,15,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.071429,0.023809666666666653,1.071429
0,16,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,2.0,0.3333333333333333,2.0
0,16,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,2.0,0.3333333333333333,2.0
0,16,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,2.0,0.3333333333333333,2.0
0,17,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.785714,0.2619046666666667,1.7857139999999998
0,17,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.785714,0.2619046666666667,1.7857139999999998
0,17,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.785714,0.2619046666666667,1.7857139999999998
0,18,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.142857,0.047619,1.142857
0,18,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.142857,0.047619,1.142857
0,18,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.142857,0.047619,1.142857
0,19,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.571429,0.1904763333333333,1.571429
0,19,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.571429,0.1904763333333333,1.571429
0,19,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.571429,0.1904763333333333,1.571429
0,20,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.142857,0.047619,1.142857
0,20,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.142857,0.047619,1.142857
0,20,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.142857,0.047619,1.142857
0,21,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.357143,0.11904766666666666,1.357143
0,21,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.357143,0.11904766666666666,1.357143
0,21,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.357143,0.11904766666666666,1.357143
0,22,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,2.0,0.3333333333333333,2.0
0,22,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,2.0,0.3333333333333333,2.0
0,22,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,2.0,0.3333333333333333,2.0
0,23,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.071429,0.023809666666666653,1.071429
0,23,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.071429,0.023809666666666653,1.071429
0,23,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.071429,0.023809666666666653,1.071429
0,24,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.5,0.16666666666666666,1.5
0,24,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.5,0.16666666666666666,1.5
0,24,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.5,0.16666666666666666,1.5
0,25,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.714286,0.23809533333333333,1.7142860000000002
0,25,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.714286,0.23809533333333333,1.7142860000000002
